grid_id,risk_score,positive_rate,samples
11_3,0.9016790086005095,1.0,1
11_7,0.23976258656012495,0.0,1
120_22,0.2447694583421138,0.0,1
120_23,0.019925121877827752,0.0,1
120_24,0.09268484812035716,0.0,1
120_3,0.020279157151835685,0.0,1
121_18,0.06430055206234528,0.0,1
121_23,0.6308871694534706,1.0,1
122_11,0.958529569667878,1.0,1
122_15,0.02067749616595455,0.0,1
122_17,0.14860174201463036,0.0,1
122_19,0.34705828320935295,0.0,1
122_22,0.5991704419185545,1.0,1
122_3,0.017781018903305787,0.0,1
123_10,0.008569536362416499,0.0,1
123_14,0.6713237550288518,1.0,1
123_22,0.853222392158609,1.0,1
123_4,0.006542206180146013,0.0,1
123_9,0.21436079453238727,0.0,1
124_1,0.05701932159488511,0.0,1
124_11,0.9766484476912493,1.0,1
124_3,0.996703171437409,1.0,1
124_7,0.1930627509276175,0.0,1
125_1,0.03298925005604363,0.0,1
125_16,0.21225675434723262,0.0,1
125_18,0.04987434663987459,0.0,1
125_24,0.9991955749549097,1.0,1
125_9,0.8613087849800029,1.0,1
126_11,0.09331316004231921,0.0,1
126_12,0.024979858026744413,0.0,1
126_15,0.4223281102606849,0.0,1
126_18,0.9899786179835113,1.0,1
126_6,0.06924901038408177,0.0,1
127_14,0.2731492408515157,0.0,1
127_21,0.9877440360897479,1.0,1
127_22,0.8182475261084061,1.0,1
127_23,0.9099264721217059,1.0,1
127_6,0.47049307527062206,0.0,1
128_16,0.8439224681289926,1.0,1
128_23,0.022850244887734555,0.0,1
128_24,0.9838051088679829,1.0,1
128_6,0.32137540930308256,0.0,1
128_7,0.018301052069647862,0.0,1
128_8,0.20425562772920117,0.0,1
129_14,0.8891705580458253,1.0,1
129_9,0.999503838385006,1.0,1
12_12,0.4600736463295439,0.0,1
12_15,0.32428354991991465,0.0,1
12_4,0.9573720099190118,1.0,1
130_0,0.9991770450807517,1.0,1
130_14,0.08450109992086051,0.0,1
130_16,0.014871935297184561,0.0,1
130_23,0.3928239274175575,0.0,1
130_3,0.0255187453850637,0.0,1
131_15,0.0052399615816903205,0.0,1
131_17,0.48245782440689333,0.0,1
131_20,0.9948668261651543,1.0,1
131_4,0.010339171023256733,0.0,1
131_6,0.3555402443416285,0.0,1
132_0,0.3332916001861402,0.0,1
132_1,0.7173384751909598,1.0,1
132_10,0.9996629996579776,1.0,1
132_12,0.024255482424587006,0.0,1
132_19,0.5203252306356395,1.0,1
132_20,0.022965295681826293,0.0,1
132_3,0.9999960297299785,1.0,1
132_9,0.006988301124387249,0.0,1
133_2,0.9041133985549458,1.0,1
134_21,0.10323889871278799,0.0,1
134_5,0.9233972833851414,1.0,1
135_13,0.9331081379537308,1.0,1
135_15,0.7073590645468186,1.0,1
135_19,0.3088244381592839,0.0,1
135_22,0.2275087754788032,0.0,1
135_23,0.9863800337548995,1.0,1
135_4,0.07310819987126012,0.0,1
135_5,0.07285350379385279,0.0,1
135_8,0.9858119081270862,1.0,1
136_1,0.33724905223439205,0.0,1
136_13,0.2234787113341202,0.0,1
136_15,0.9810435021113607,1.0,1
136_2,0.19876788000536552,0.0,1
136_22,0.09819977265161614,0.0,1
136_6,0.9998815031637546,1.0,1
136_8,0.08241175512663956,0.0,1
137_15,0.0378494390923763,0.0,1
137_16,0.7682115000455686,1.0,1
137_24,0.26999199181549716,0.0,1
137_3,0.40659201638094655,0.0,1
137_4,0.9243308307445489,1.0,1
137_5,0.865545046419274,1.0,1
138_10,0.988353679238311,1.0,1
138_16,0.9999995986470215,1.0,1
138_24,0.5265254565826949,1.0,1
138_4,0.7952073544715034,1.0,1
138_6,0.17005756387032162,0.0,1
139_12,0.8856886982686667,1.0,1
139_14,0.8983612150637086,1.0,1
139_18,0.486948376806275,0.0,1
139_5,0.3462844069286945,0.0,1
139_6,0.37708896421009586,0.0,1
13_1,0.0467632395430992,0.0,1
13_17,0.008710905411415362,0.0,1
13_18,0.9787425870182495,1.0,1
13_2,0.9867671165933651,1.0,1
13_23,0.3010931113438612,0.0,1
13_24,0.8567052058090939,1.0,1
13_5,0.05938397985957891,0.0,1
13_6,0.1409404154657079,0.0,1
13_8,0.9887988473729741,1.0,1
140_10,0.977966827355853,1.0,1
140_11,0.41944060504530245,0.0,1
140_17,0.05388367823581468,0.0,1
140_18,0.3622630944739091,0.0,1
140_19,0.1767914442766145,0.0,1
140_23,0.012450172951441374,0.0,1
141_11,0.9888369538023116,1.0,1
141_18,0.3442802406773481,0.0,1
141_23,0.5835766114649067,1.0,1
141_4,0.9979878363966574,1.0,1
141_7,0.3976297533434418,0.0,1
142_13,0.48138828183201593,0.0,1
142_19,0.5292371470130864,1.0,1
143_11,0.06719817958186382,0.0,1
143_12,0.4575050590640705,0.0,1
143_14,0.0023736352474758005,0.0,1
143_15,0.8925380112307388,1.0,1
143_2,0.05902383300510743,0.0,1
143_4,0.00592080203490301,0.0,1
144_1,0.9624067364841303,1.0,1
144_11,0.039887561793145294,0.0,1
144_14,0.7517710359844204,1.0,1
144_18,0.9500798656366102,1.0,1
144_21,0.5746682971276522,1.0,1
144_22,0.9408527276278877,1.0,1
144_8,0.8996929192722871,1.0,1
145_14,0.23079094195364855,0.0,1
145_2,0.0068101171851461615,0.0,1
145_20,0.6195068948611617,1.0,1
145_4,0.006973997677881571,0.0,1
146_11,0.049792059547849404,0.0,1
146_14,0.23197167796010937,0.0,1
146_15,0.9053822576845234,1.0,1
146_20,0.10307825436500982,0.0,1
146_3,0.024409740078262042,0.0,1
147_0,0.6487933217672297,1.0,1
147_15,0.03913879963518579,0.0,1
147_17,0.9998529246947109,1.0,1
147_18,0.007677026132839663,0.0,1
147_22,0.959614694211075,1.0,1
147_7,0.07977948920620707,0.0,1
147_9,0.04858645631167907,0.0,1
148_10,0.18838481064609497,0.0,1
